title,company,location,category,job_type,deadline,salary,url
English & Arabic Instructor,Dream Academy,Erbil,Education,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/English-&-Arabic-Instructor-3050
Receptionist,Nivin Group,Duhok,Operations/Production,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Receptionist-3049
Lighting Assistant,Nivin Group,Duhok,Marketing,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Lighting-Assistant-3048
Cameraman ( Photographer),Nivin Group,Duhok,Marketing,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Cameraman-(-Photographer)-3047
Visual Content Creator,NS Marketing Company,Duhok,Marketing,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Visual-Content-Creator-3045
Videographer,B Cars,Duhok,Marketing,Contract,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Videographer-3044
Office Chef,MY LIMITED,Erbil,Operations/Production,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Office-Chef-3043
Service Advisor,Harlem Group For Commercial Agencies,Duhok,Unknown,Full time,2026-05-05,Not disclosed,https://jobs.krd/explore-jobs/Service-Advisor-3046
Graphic Designer,Bestun Company,Sulaymaniyah,Marketing,Full time,2026-05-04,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-3042
Direct Marketing Officer,Bestun Company,Sulaymaniyah,Marketing,Full time,2026-05-04,Not disclosed,https://jobs.krd/explore-jobs/Direct-Marketing-Officer-3041
Office Based Engineer,Smart Lift Company,Erbil,Engineering,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Office-Based-Engineer-3038
Sales Representative,Shoof Company,Erbil,Marketing,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-3039
Office Employee (Female),Rento Car Rental,Erbil,Administration/Operations,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Office-Employee-(Female)-3040
Video Editor,Habika Company,Sulaymaniyah,Marketing,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Video-Editor-3037
Graphic Designer,Habika Company,Sulaymaniyah,Marketing,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Graphic-Designer-3036
Sales Engineer,Sunpulse,Erbil,Unknown,Full time,2026-05-03,Not disclosed,https://jobs.krd/explore-jobs/Sales-Engineer-3035
Marketing Supervisor,Shoof Company,Erbil,Marketing,Full time,2026-04-30,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Supervisor-3034
Sales Representative – Phone Shop,ND Phone,Duhok,Sales,Full time,2026-04-29,Not disclosed,https://jobs.krd/explore-jobs/Sales-Representative-–-Phone-Shop-3033
Operations Assistant -Data Entry,Arizanti Company,Erbil,Unknown,Full time,2026-05-10,Not disclosed,https://jobs.krd/explore-jobs/Operations-Assistant--Data-Entry-3023
Trade Marketing Officer,Shahan Al-Alamiya,Sulaymaniyah,Marketing,Full time,2026-04-29,Not disclosed,https://jobs.krd/explore-jobs/Trade-Marketing-Officer-3032
Pilates Instructor / Trainer,Sole Studios,Erbil,Facilities Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Pilates-Instructor-/-Trainer-3029
Cycling / Yoga / Dance Trainer,Sole Studios,Erbil,Facilities Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Cycling-/-Yoga-/-Dance-Trainer-3028
Marketing Coordinator,Sole Studios,Erbil,Marketing,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Marketing-Coordinator-3027
Studio Manager,Sole Studios,Erbil,Project Management,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Studio-Manager-3026
Barista,Sole Studios,Erbil,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Barista-3025
Receptionist,Sole Studios,Erbil,Customer Service/Support,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Receptionist-3024
French Teacher,JOBS.KRD Client 13,Erbil,Education,Full time,2026-04-29,Not disclosed,https://jobs.krd/explore-jobs/Teaching-3030
Accountant (Female),Packink,Erbil,Finance,Full time,2026-04-27,Not disclosed,https://jobs.krd/explore-jobs/Accountant-3022
Production Supervisor,Packink,Erbil,Operations/Production,Full time,2026-04-27,Not disclosed,https://jobs.krd/explore-jobs/Production-Supervisor-3021
Radiology Technician,Medya Diagnostic Center,Erbil,Medicine,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Radiology-Technician-3018
Head of Legal,Harko Legal,Erbil,Legal,Full time,2026-04-23,Not disclosed,https://jobs.krd/explore-jobs/Head-of-legal-3017
CDP- Staff Canteen,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/CDP--Staff-Canteen-3016
Commis Chef - International Cuisine,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/Commis-Chef---International-Cuisine-3015
DCDP Chef - International Cuisine,DDK Collection Hotel,Duhok,Operations/Production,Full time,2026-05-06,Not disclosed,https://jobs.krd/explore-jobs/DCDP-Chef---International-Cuisine-3013
International Procurement Specialist,Shahan Company,Duhok,Operations/Production,Full time,2026-04-23,Not disclosed,https://jobs.krd/explore-jobs/International-Procurement-Specialist-3012
Assistant Maintenance Technician,Erbil Pioneer For Oilfield Equipment Supply Ltd.,Erbil,Unknown,Full time,2026-04-23,Not disclosed,https://jobs.krd/explore-jobs/Assistant-Maintenance-Technician-3014
Academic Director,Abi Academy,Duhok,Education,Full time,2026-04-22,Not disclosed,https://jobs.krd/explore-jobs/Academic-Director-3010
Senior Marketing Manager,Kurdistan Foundation,Erbil,Marketing,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/Senior-Marketing-Manager-3009
HR Recruiter,Shoof Company,Erbil,Human Resources,Full time,2026-04-20,Not disclosed,https://jobs.krd/explore-jobs/HR-Recruiter-3005
Sales Engineer,Sunpulse,Erbil,Sales,Full time,2026-05-30,Not disclosed,https://jobs.krd/explore-jobs/Sales-Engineer-3008
